ticker,asof_date,confidence,entry,stop,target,max_hold_days,outcome,exit_price,ret_pct,hold_sessions,ret_5d_pct,ret_10d_pct,vol_ratio,atr_pct,breakout_dist_pct
BW,2026-03-05,100,11.8,10.38501785714286,14.629964285714285,5,target,14.629964285714285,23.98274818401936,3,29.24424972617743,25.799573560767584,6.184494889110843,7.99424939467312,-1.987899740708733
BW,2026-03-06,99,13.29,11.762517857142857,16.344964285714283,5,stop,11.762517857142857,-11.493469848435984,5,44.61371055495103,42.29122055674517,3.572859518687384,7.662313232290656,-10.473815461346632
DDD,2026-03-09,99,2.494999885559082,2.2594463101455142,2.966107036386217,5,time,2.430000066757202,-2.6052032778877123,5,22.303918245800205,21.707314321641547,3.7813273625275796,6.294016999811995,-7.543101609993438
DDD,2026-03-09,98,2.484999895095825,2.248214189495359,2.9585713062967574,5,time,2.430000066757202,-2.213272863599142,5,21.813722625689834,21.21950989745325,3.858734911333212,6.352400150137237,-7.112067525898476
DDD,2026-03-09,99,2.5,2.2621428668498993,2.9757142663002014,5,time,2.430000066757202,-2.799997329711914,5,22.549021899448142,21.95122234882314,4.073525796442922,6.3428568840026855,-7.758623790372514
DDD,2026-03-09,98,2.4914000034332275,2.253542870283127,2.967114269733429,5,time,2.430000066757202,-2.464475258545972,5,22.127453432409496,21.531710311417697,4.314911309418828,6.364751620837711,-7.387934272517582
DDD,2026-03-09,100,2.509999990463257,2.272142857313156,2.9857142567634583,5,time,2.430000066757202,-3.187247968526468,5,23.03921751955851,22.439026773011438,4.402237325082767,6.317586561854946,-8.189657874467477
CF,2026-03-13,94,136.0,125.18641428571428,157.62717142857144,5,stop,125.18641428571428,-7.95116596638656,1,22.76584220978515,39.9752984767394,2.863307594251167,5.300777310924371,-11.658456486042695
CF,2026-03-13,94,136.0,125.18499973842076,157.6300005231585,5,stop,125.18499973842076,-7.952206074690619,1,22.76584356256228,39.97529320085598,2.852849468424809,5.301470716460412,-11.65845368838622
CTMX,2026-03-17,100,6.75,5.863167857142857,8.523664285714286,5,stop,5.863167857142857,-13.138253968253972,1,34.19483101391649,26.760563380281678,13.998856024918103,8.75883597883598,-10.655737704918039
KODK,2026-03-30,92,9.460000038146973,8.669285689081464,11.04142873627799,5,target,11.04142873627799,16.71700519824509,3,20.817370757641275,35.72453834875733,2.526125861336991,5.572335066081694,-6.411694857271219
JBIO,2026-04-02,90,16.020000457763672,14.611071927206858,18.8378575188773,5,time,17.889999389648438,11.67290186298665,5,14.83871452904042,16.255448245277293,3.811527421703987,5.863206368278701,-4.569195671563523
HTZ,2026-04-08,96,5.880000114440918,5.323928552014487,6.99214323929378,4,target,6.99214323929378,18.913998353869193,4,31.250001995691214,42.37288018179388,3.1941614521894226,6.304666117956397,-10.526314374246708
HUM,2026-04-08,85,197.14999389648438,185.7885627746582,219.87285614013672,3,time,198.22999572753906,0.547807184626013,3,18.76505656414722,15.875158459933125,2.9748058281820233,3.8418907679640806,-6.740658989686396
