[02/15/26 23:51:20] INFO     signals-bot starting                                                                                                                              
                    INFO     WAIT ANGO conf=14 score=0.135 close=$10.97 volRatio=0.67 ret5=3.88% brkDist=6.88% atr=4.47% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:02] INFO     WAIT ANIP conf=4 score=0.044 close=$77.36 volRatio=0.66 ret5=-5.47% brkDist=11.15% atr=3.50% :: no breakout, weak momentum, low volume            
                    INFO     WAIT ANNX conf=6 score=0.058 close=$4.89 volRatio=0.87 ret5=-14.66% brkDist=31.89% atr=8.79% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:03] INFO     WAIT AORT conf=24 score=0.237 close=$36.60 volRatio=3.55 ret5=-7.55% brkDist=19.40% atr=4.82% :: no breakout, weak momentum                       
[02/15/26 23:52:04] INFO     WAIT AOSL conf=11 score=0.111 close=$22.65 volRatio=1.08 ret5=6.04% brkDist=4.62% atr=7.39% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:05] INFO     WAIT APA conf=9 score=0.094 close=$27.92 volRatio=0.82 ret5=1.68% brkDist=2.24% atr=3.88% :: no breakout, weak momentum, low volume               
                    INFO     WAIT APEI conf=12 score=0.122 close=$44.59 volRatio=1.83 ret5=-0.67% brkDist=2.41% atr=4.29% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:06] INFO     WAIT APGE conf=12 score=0.125 close=$67.78 volRatio=1.06 ret5=8.90% brkDist=18.65% atr=6.34% :: no breakout, weak momentum, low volume            
                    INFO     WAIT APLD conf=7 score=0.067 close=$35.28 volRatio=0.68 ret5=0.94% brkDist=16.54% atr=12.15% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:07] INFO     WAIT APLS conf=4 score=0.039 close=$21.70 volRatio=0.58 ret5=-7.62% brkDist=9.96% atr=5.44% :: no breakout, weak momentum, low volume             
                    INFO     WAIT APOG conf=4 score=0.043 close=$41.44 volRatio=0.65 ret5=-0.84% brkDist=4.43% atr=3.21% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:08] INFO     WAIT APPN conf=5 score=0.052 close=$22.87 volRatio=0.79 ret5=-9.28% brkDist=28.10% atr=6.94% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:09] INFO     WAIT APPS conf=3 score=0.029 close=$4.19 volRatio=0.43 ret5=0.96% brkDist=32.31% atr=10.93% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:10] INFO     WAIT AQST conf=3 score=0.026 close=$3.65 volRatio=0.39 ret5=-11.19% brkDist=16.86% atr=8.88% :: no breakout, weak momentum, low volume            
                    INFO     WAIT AR conf=8 score=0.078 close=$34.76 volRatio=1.18 ret5=1.13% brkDist=4.77% atr=4.54% :: no breakout, weak momentum, low volume                
[02/15/26 23:52:11] INFO     WAIT ARDX conf=5 score=0.046 close=$6.87 volRatio=0.68 ret5=-6.15% brkDist=18.21% atr=4.87% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:12] INFO     WAIT AREC conf=7 score=0.071 close=$3.08 volRatio=1.06 ret5=0.16% brkDist=35.83% atr=13.84% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ARHS conf=13 score=0.130 close=$9.25 volRatio=1.95 ret5=-16.67% brkDist=17.63% atr=6.15% :: no breakout, weak momentum, low volume           
[02/15/26 23:52:13] INFO     WAIT ARLO conf=6 score=0.056 close=$11.42 volRatio=0.84 ret5=-7.90% brkDist=19.92% atr=5.64% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:14] INFO     WAIT ARQT conf=4 score=0.045 close=$25.86 volRatio=0.67 ret5=-5.34% brkDist=6.37% atr=3.95% :: no breakout, weak momentum, low volume             
                    INFO     WAIT ARRY conf=6 score=0.055 close=$11.16 volRatio=0.83 ret5=-5.90% brkDist=8.75% atr=7.74% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:15] INFO     WAIT ARVN conf=8 score=0.075 close=$11.65 volRatio=1.13 ret5=-13.58% brkDist=17.61% atr=6.89% :: no breakout, weak momentum, low volume           
                    INFO     WAIT ARWR conf=4 score=0.038 close=$63.82 volRatio=0.56 ret5=-1.08% brkDist=16.15% atr=6.48% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:16] INFO     WAIT ARX conf=7 score=0.073 close=$10.67 volRatio=1.10 ret5=-8.96% brkDist=33.88% atr=7.22% :: no breakout, weak momentum, low volume             
                    INFO     WAIT AS conf=18 score=0.182 close=$39.81 volRatio=0.71 ret5=6.13% brkDist=3.63% atr=4.46% :: no breakout, weak momentum, low volume               
[02/15/26 23:52:17] INFO     WAIT ASAN conf=7 score=0.068 close=$7.56 volRatio=1.01 ret5=-13.70% brkDist=37.73% atr=8.85% :: no breakout, weak momentum, low volume            
                    INFO     WAIT ASGN conf=8 score=0.081 close=$41.43 volRatio=1.22 ret5=-21.09% brkDist=24.59% atr=7.11% :: no breakout, weak momentum, low volume           
[02/15/26 23:52:18] INFO     WAIT ASIX conf=5 score=0.054 close=$18.65 volRatio=0.52 ret5=0.81% brkDist=4.36% atr=4.33% :: no breakout, weak momentum, low volume              
[02/15/26 23:52:19] INFO     WAIT ASO conf=4 score=0.044 close=$58.56 volRatio=0.67 ret5=-0.96% brkDist=3.29% atr=4.11% :: no breakout, weak momentum, low volume              
                    INFO     WAIT ASPI conf=3 score=0.034 close=$5.22 volRatio=0.51 ret5=-10.23% brkDist=39.30% atr=12.17% :: no breakout, weak momentum, low volume           
[02/15/26 23:52:20] INFO     WAIT ASTE conf=13 score=0.128 close=$59.27 volRatio=0.80 ret5=3.20% brkDist=1.20% atr=3.34% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:21] INFO     WAIT ASTH conf=3 score=0.034 close=$18.78 volRatio=0.51 ret5=-11.00% brkDist=34.68% atr=9.41% :: no breakout, weak momentum, low volume           
                    INFO     WAIT ASTL conf=25 score=0.247 close=$4.82 volRatio=2.11 ret5=4.56% brkDist=10.16% atr=8.36% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:22] INFO     WAIT ASYS conf=3 score=0.030 close=$11.42 volRatio=0.46 ret5=2.70% brkDist=38.57% atr=15.61% :: no breakout, weak momentum, low volume            
                    INFO     WAIT ATAI conf=4 score=0.042 close=$3.57 volRatio=0.63 ret5=-5.31% brkDist=14.39% atr=6.99% :: no breakout, weak momentum, low volume             
[02/15/26 23:52:23] INFO     WAIT ATEC conf=4 score=0.041 close=$13.36 volRatio=0.61 ret5=-3.33% brkDist=25.65% atr=5.54% :: no breakout, weak momentum, low volume            
[02/15/26 23:52:24] INFO     WAIT ATEX conf=79 score=0.790 close=$31.89 volRatio=1.54 ret5=12.33% brkDist=-3.04% atr=7.70% :: low volume                                       
                    INFO     WAIT ATRC conf=16 score=0.158 close=$32.65 volRatio=2.37 ret5=-12.02% brkDist=21.89% atr=5.94% :: no breakout, weak momentum, low volume          
[02/15/26 23:52:25] INFO     WAIT ATRO conf=5 score=0.051 close=$76.94 volRatio=0.61 ret5=0.47% brkDist=6.04% atr=5.33% :: no breakout, weak momentum, low volume              
[02/15/26 23:52:26] INFO     Done. Signals generated: 102                                                                                                                      
[02/16/26 00:25:01] INFO     signals-bot starting                                                                                                                              
                    INFO     run_id=daily_close_scan-20260215T222501Z                                                                                                          
                    INFO     config=/Users/talshitrit/Workspace/Personal/trading/trading-signals/config.yaml                                                                   
[02/16/26 00:25:02] INFO     IBKR Flex holdings loaded: 4 symbols                                                                                                              
                    INFO     Universe size: 114 tickers                                                                                                                        
[02/16/26 00:25:03] INFO     WAIT AA conf=10 score=0.102 close=$59.95 volRatio=1.06 ret5=1.34% brkDist=7.77% atr=6.03% :: no breakout, weak momentum, low volume               
[02/16/26 00:25:04] INFO     WAIT AAL conf=6 score=0.056 close=$13.88 volRatio=0.84 ret5=-8.92% brkDist=12.10% atr=4.85% :: no breakout, weak momentum, low volume             
[02/16/26 00:25:05] INFO     WAIT AAMI conf=3 score=0.035 close=$51.85 volRatio=0.52 ret5=1.71% brkDist=8.17% atr=4.65% :: no breakout, weak momentum, low volume              
                    INFO     WAIT AAOI conf=4 score=0.042 close=$44.46 volRatio=0.50 ret5=0.36% brkDist=12.48% atr=13.79% :: no breakout, weak momentum, low volume            
